Experiment	Sweeper	
Saved Date	28.05.2025 16:24:32	
User		
Date		
Start time	28.05.2025 16:07:32	
Sweep channel: Name	- None (Time) -	
Sweep channel: Start (V)	-Inf	
Sweep channel: Stop (V)	Inf	
Sweep channel: Points	20000	
Sweep channel: Max slew rate (V/s)	0E+0	
Sweep channel: Initial settling time (s)	20E+0	
Sweep channel: End settling time (s)	20E+0	
Sweep channel: Backward sweep	FALSE	
Sweep channel: Number of sweeps	1	
Sweep channel: Reset	FALSE	
Sweep Type	1D-Only SweepCh	
Acquire channels	Input 2 (V)	
Filter type	None	
Order		
Cutoff frq		
Comment01	b_P1_peak1_1741_3_top	

[DATA]
Points	Input 2 (V)
3.5700000E+2	-1.1720428E-1
3.5800000E+2	-1.2281168E-1
3.5900000E+2	-1.2047950E-1
3.6000000E+2	-1.2505722E-1
3.6100000E+2	-1.2292474E-1
3.6200000E+2	-1.2154037E-1
3.6300000E+2	-1.2367330E-1
3.6400000E+2	-1.1915877E-1
3.6500000E+2	-1.2698053E-1
3.6600000E+2	-1.1626389E-1
3.6700000E+2	-1.1600238E-1
3.6800000E+2	-1.1246909E-1
3.6900000E+2	-1.1729616E-1
3.7000000E+2	-1.1867546E-1
3.7100000E+2	-1.1522680E-1
3.7200000E+2	-1.1303522E-1
3.7300000E+2	-1.1451491E-1
3.7400000E+2	-1.1451386E-1
3.7500000E+2	-1.1359618E-1
3.7600000E+2	-1.2120567E-1
3.7700000E+2	-1.1521979E-1
3.7800000E+2	-1.2067014E-1
3.7900000E+2	-1.1074923E-1
3.8000000E+2	-1.1458276E-1
3.8100000E+2	-1.1354077E-1
3.8200000E+2	-1.2986346E-1
3.8300000E+2	-1.1855924E-1
3.8400000E+2	-1.2198278E-1
3.8500000E+2	-1.2365320E-1
3.8600000E+2	-1.1711531E-1
3.8700000E+2	-1.1882129E-1
3.8800000E+2	-1.1435117E-1
3.8900000E+2	-1.2195575E-1
3.9000000E+2	-1.1808735E-1
3.9100000E+2	-1.2710652E-1
3.9200000E+2	-1.2749909E-1
3.9300000E+2	-1.2869158E-1
3.9400000E+2	-1.2504929E-1
3.9500000E+2	-1.2343613E-1
3.9600000E+2	-1.2272597E-1
3.9700000E+2	-1.2590382E-1
